상호명,소재지,1등 당첨 회차,1등 횟수,2등 당첨 회차,2등 횟수,LATITUDE,LONGITUDE
동원식품,서울 송파구 오금로40길 40 성동구치소 앞,,0,405 465 534 725 997 1116 1117,7,37.497186,127.128714
피터팬,서울 은평구 은평로 193,1093,1,594 915,2,37.601766,126.929117
쎄븐타임,서울 용산구 백범로47길 6 1층 102호 &#40;슈퍼마켓&#41;,,0,,0,37.54074,126.958359
아이비즈마트,서울 용산구 만리재로 148,,0,624 940 1047 1132,4,37.552342,126.963708
해태24시,서울 양천구 곰달래로 11 1층 2호,315,1,305 396 397 402,4,37.529906,126.833911
로또행운마트,서울 양천구 남부순환로 327 1층,821,1,383 386 424 644 864 868 1057 1146,8,37.537713,126.827483
드림복권,서울 동대문구 장한로 147 우성휠포커스텔1층104호,,0,378 672 871 1027,4,37.573475,127.071536
CU경기대사거리점,서울 서대문구 경기대로 62,,0,769,1,37.564289,126.963799
스파,서울 노원구 동일로 1493 주공10단지종합상가111,269 286 306 386 392 394 423 443 507 516 546 575 576 598 606 606 624 635 647 655 655 663 668 674 685 723 734 745 773 786 826 835 837 871 876 943 979 979 996 1005 1013 1041 1075 1111 1121 1146,46,296 301 304 309 311 314 328 341 344 367 374 381 397 405 408 411 415 420 425 425 426 431 436 445 446 457 458 464 465 467 468 469 474 476 482 483 496 506 507 515 535 544 550 552 552 560 561 564 567 571 575 579 579 588 591 591 594 603 605 605 607 609 613 615 616 620 620 622 626 628 637 638 648 650 651 653 653 654 656 659 662 662 664 666 669 669 672 679 685 691 691 698 707 707 708 718 720 725 727 729 731 738 744 744 747 752 752 755 756 762 766 767 767 769 776 777 778 781 782 784 784 786 791 800 801 803 805 809 812 823 825 825 844 850 852 856 859 860 862 865 872 880 880 882 890 898 900 902 905 906 908 911 912 917 922 924 925 931 936 937 937 946 947 954 960 961 963 966 973 974 976 980 983 983 983 985 990 1000 1000 1001 1005 1014 1015 1026 1026 1030 1030 1033 1033 1041 1051 1054 1057 1057 1057 1058 1059 1066 1079 1081 1085 1087 1092 1107 1108 1117 1119 1120 1120 1124 1126 1129 1131 1138 1143 1147,216,37.661658,127.057872
오렌지스토아,서울 광진구 면목로 105 우진빌딩1층,,0,520 521 576 607 692 726 834 941 981 982,10,37.56298,127.079458
MS마트,서울 광진구 광나루로 546,,0,298 330 394 426 480 527 738 768 859,9,37.544514,127.090131
가로매점,서울 강북구 도봉로 52 와이스퀘어 앞 가판,712,1,668 849 910 917 1054,5,37.613864,127.030267
토큰판매점,서울 강북구 도봉로 45 가판,685 724,2,303 600 600 654 842 858 877 904 963 1019 1069 1072 1072 1106 1107,15,37.613151,127.02949
토큰박스,서울 강북구 도봉로 334 KFC앞 가판,1103,1,460 823 837 840 894 922 935 1106,8,37.637538,127.025517
일등복권방,서울 양천구 오목로 232 보성빌딩105호,,0,832 921,2,37.525689,126.863007
만복복권,서울 용산구 한강대로104길 72 1층,,0,304 309 452 876,4,37.549993,126.976162
배임,서울 용산구 보광로 19 1층,518 918,2,381 407 438 535 850 871 920 953,8,37.526238,127.000625
