상호명,소재지,1등 당첨 회차,1등 횟수,2등 당첨 회차,2등 횟수,LATITUDE,LONGITUDE
부자랑복권방,서울 중랑구 사가정로 359,408,1,564 610 1085 1087,4,37.581255,127.084504
갤러리마트,서울 중랑구 사가정로 387,350,1,272 285 346 381 410 423 586 605 641 648 657 711 776 981 1017 1064 1083 1106 1129 1137,20,37.580943,127.087712
원스탑,서울 송파구 백제고분로7길 39,290 503 628 726 830 974 1059,7,403 525 576 590 600 669 731 745 750 773 815 823 837 859 876 878 896 941 962 1088 1148,21,37.510902,127.083215
로또샹스카페,서울 구로구 남부순환로105길 14 인화오벨리아102호,,0,622 778,2,37.4794,126.891679
복권마을,서울 구로구 구로동로 72,1039 1076 1134,3,270 276 327 391 408 452 507 522 611 611 611 611 706 722 773 803 982 1042 1045 1067 1077 1091,22,37.485348,126.88605
복권명가,서울 구로구 개봉로 26,597,1,444 647 772 917,4,37.487991,126.856489
잭팟 복권방,서울 동대문구 왕산로43길 36 1층,,0,379 387 524 732 774 788 1079,7,37.584409,127.047601
노다지복권방,서울 동대문구 한빛로 1-1,1003 1028,2,290 478 552 620 626 832 851 955 980 1033 1039,11,37.576339,127.023919
노다지 노원역점 복권방,서울 노원구 상계로 78,503 833 895 997,4,274 378 385 524 608 661 748 842 886 887 900 912 920 931 936 945 959 978 985 1047 1054 1136 1144 1145,24,37.656223,127.063745
복권방&&#35;40;천하명당&&#35;41;,서울 성동구 행당로 75 행당동대림아파트 리빙프라자동 지하2층 비202,270,1,591 957,2,37.557892,127.027093
복권클럽,서울 성동구 독서당로 318,,0,454 620 744,3,37.547953,127.024233
신성사,서울 영등포구 신길로 63,,0,424 734 1109,3,37.498248,126.907999
행운의사랑방,서울 영등포구 도림로 465,948 974,2,291 360 453 598 832 843 1095 1105,8,37.515677,126.891593
왕대박,서울 영등포구 영등포로 412,,0,293 584 660 868 1011 1050 1051 1077 1128,9,37.512748,126.923592
복권마을,서울 영등포구 가마산로 421-2,,0,528 975,2,37.504592,126.903558
복권천국,서울 서초구 서초대로 97 1층,649 686 1012,3,364 466 620 718 801 809 906 906 1089,9,37.487709,126.992832
천하명당복권방,서울 은평구 은평로 51,,0,395 474 517 560 879 954 1005 1098 1110 1110,10,37.59878,126.913435
행운복권방,서울 은평구 연서로 258 상가102호,268 761,2,353 373 473 518 690 735 786 786 826 853 853 891 943 978 991 995 1022 1048 1066,19,37.619786,126.92332
복권전문점,서울 도봉구 도당로 123-1,,0,312 481 594 945,4,37.667399,127.039889
나눔,서울 도봉구 도당로13길 34,,0,637,1,37.666148,127.034865
캐논종합,서울 용산구 청파로 101 나진10동가125호,535 724 959,3,411 425 429 498 541 550 581 583 612 652 900 911 915 918 986 1043 1096,17,37.533335,126.962297
복권천국,서울 강서구 방화대로33길 66,,0,396 502 643 661 677 775,6,37.568241,126.813118
신명,서울 강서구 방화동로3길 1,291 309 393 956,4,325 510 604 609 788 793 833 918 923 967 1065 1077 1135 1135,14,37.562437,126.808413
아그네스,서울 강서구 방화동로 44 1층 4호,,0,1095,1,37.56452,126.811548
은혜,서울 중랑구 면목로91길 46,830,1,339 389 394 559 794 809 963,7,37.594111,127.083391
복권명당,서울 중랑구 면목로 362 1층,857,1,381 386 417 421 460 678 778 923 931 948 960 1076,12,37.58428,127.088584
복권방,서울 마포구 백범로 127,984 1053,2,572 765 862 1033 1071 1122 1144,7,37.54653,126.945442
복권천국방,서울 마포구 동교로 92 1층,502 672 750,3,267 399 434 450 515 533 567 572 632 761 770 838 889 952 956 978 989 1065 1090,19,37.554207,126.912367
복권백화점,서울 마포구 월드컵로 157,924,1,362 485 689 785 810 843 854 1005 1076,9,37.561568,126.9047
한삼인 홍제역점,서울 서대문구 통일로 457,407,1,420 503 537 548 644 667 900 972 1012,9,37.589219,126.943214
복권마트,서울 서대문구 세검정로 31,865,1,328 454 507 579 671 673 1061 1149,8,37.591907,126.944885
노다지복권방,서울 서대문구 충정로 73 1층,,0,278 477 555 1129,4,37.565298,126.965949
복권세계,서울 동작구 신대방길 8,,0,557 671 782 886 1061 1061 1061,7,37.487953,126.912154
복권명당,서울 동작구 국사봉길 26,757 894 1017,3,698 767 1040,3,37.498107,126.929175
뉴현대칼라,서울 동작구 상도로 143 1층 3호,,0,300 727 818,3,37.502824,126.935341
복권나라,서울 동작구 성대로 42,,0,596 694 986,3,37.498858,126.933356
해태식품,서울 금천구 시흥대로50길 9,936,1,927 966,2,37.451438,126.902533
주하,서울 노원구 동일로 1002 102호,713 931,2,264 711 746 783 850 955 1008 1088,8,37.619614,127.075321
내복권방,서울 노원구 노원로1나길 5 1층,892 946,2,745 773 833 900 1013 1013 1013 1013 1115,9,37.62124,127.082857
로또판매점,서울 노원구 상계로 309-1 cu,428 762,2,316 523 631 653 697 706 728 740 997 1081 1137,11,37.670873,127.079986
로또수락산점,서울 노원구 동일로 1689 대덕하이베라스101호,601 943,2,279 361 440 472 532 587 591 605 611 625 689 722 730 731 792 808 823 873 920 996 1052 1057 1100,23,37.67911,127.054859
성보복권,서울 노원구 광운로 132 상가비동 지1층 비101호,758,1,267 737 796 833 966,5,37.628502,127.058455
로또판매,서울 노원구 한글비석로15길 27,996,1,333 824,2,37.657004,127.074143
행운마트,서울 노원구 중계로 96,757 935,2,417 417 420 863 884 939 952 1067 1080,9,37.644422,127.083302
도봉구청점 GS25,서울 도봉구 마들로 664,,0,307 310 351 457 582 746 881 988 1004 1048 1071,11,37.669428,127.046459
금정복권방,서울 도봉구 해등로 168 1층,1026,1,438 598 611 765 822 928 943 1003,8,37.657394,127.037959
로또복권,서울 도봉구 도봉로113길 15,417,1,428 484 503 682 713 804 1097 1120,8,37.648022,127.033136
명당복권방,서울 동작구 상도로 281 1층,886 985 1030,3,463 920 993 1002 1067,5,37.502379,126.948593
썬마트,서울 동작구 여의대방로22아길 15,,0,998 1081 1141,3,37.496883,126.924438
뉴서울슈퍼,서울 서대문구 서소문로 63,619,1,267 435 529 776 880,5,37.561936,126.968385
인더라인북가좌점,서울 서대문구 응암로 42 1층101호,474,1,581 660,2,37.577123,126.909288
복권방,서울 강동구 천호대로176길 10-3,335 808,2,336 339 359 412 438 563 575 582 686 707 733 838 905 916 930 978 1138,17,37.533828,127.136029
단골집편의점,서울 강동구 구천면로 194,549 744,2,443 595 673 752 753 935 1095,7,37.540585,127.126223
포인트,서울 강동구 올림픽로 677 북쪽 코너 점포 1칸,879,1,395 792 830 1003 1071 1110,6,37.541997,127.124312
삼정그린환경,서울 강동구 양재대로 1355 오스카상가136호,603 721 865,3,348 353 355 537 553 790 894 909 912 927 1052 1057 1084,13,37.527395,127.135616
복드림복권방,서울 강동구 상암로 99,435 818,2,305 715 909 915 976 1133,6,37.547486,127.133984
하늘담 복권,서울 금천구 시흥대로 97 1동 116호,,0,308 520 830 900 933 1083,6,37.44332,126.90162
복권방,서울 금천구 시흥대로 90 정송빌딩1층,,0,544 669 689 739 757 757 872 946 988 997 1010 1089,12,37.442095,126.903949
행운으뜸,서울 관악구 신림로17길 45 1층,1104,1,1138,1,37.46864,126.9365
대풍,서울 관악구 조원로 116 1층,,0,1008,1,37.484998,126.915266
로또담배,서울 관악구 난곡로 82,477,1,300 483 664 740 819 939,6,37.462704,126.919196
복권나라,서울 관악구 남부순환로 1739-9,378 690 701 858 902 939 971 997 1070,9,271 334 455 485 494 498 563 575 660 703 745 774 811 836 846 863 908 919 943 952 957 976 992 998 999 1009 1018 1029 1031 1032 1055 1057 1078 1080 1083,35,37.482788,126.943475
천하명당,서울 관악구 난우길 18 1층,469,1,369 539 832 898 898 1008 1019 1072 1103,9,37.47456,126.91871
대박복권방,서울 금천구 독산로64길 18,,0,425 427 661 786 975 1006 1008 1017 1032 1043 1129,11,37.46507,126.903652
천하명당복권방독산점,서울 금천구 독산로85길 16,599 693 977,3,306 346 393 431 453 506 659 687 840 895 902 910 926 968,14,37.472535,126.902207
복권나라,서울 관악구 은천로 40-1,784 968 1060 1100 1142,5,268 642 648 670 917 935 962 968 980 1067 1077,11,37.485988,126.939821
주택복권사랑방,서울 관악구 난곡로 363-1,614 969,2,452 574 585 602 659 738 772 830 845 904 909 957 971 991 1116,15,37.486427,126.913404
대박복권방,서울 성북구 돌곶이로 60,825 971,2,513 515 749 1063,4,37.609235,127.058943
복권명당,서울 광진구 영화사로 59 1층,1129 1129,2,494 883 1141,3,37.538918,127.066014
복권나라,서울 광진구 군자로 146 1층,400 800,2,673 1023 1107,3,37.554392,127.075592
복권방,서울 광진구 자양로18길 34,876,1,296 300 381 494 527 745 816 841 867,9,37.537775,127.085458
천하명당복권방,서울 광진구 능동로 413,421 742 903,3,358 445 476 550 687 710 851 1004 1060 1136,10,37.565954,127.084082
대원복권방,서울 광진구 답십리로 382,,0,450 679 773 996 1147,5,37.571284,127.082847
행운의집,서울 광진구 능동로19길 7,960 1069,2,630,1,37.54692,127.073315
천하명당,서울 송파구 백제고분로40길 31 1층,,0,1024 1057 1103 1116 1119 1136,6,37.502024,127.107947
명지복권방,서울 송파구 거마로 55 101호,406 1036,2,468 483 515 637 645 658 795 865 1000 1051 1064 1105 1141,13,37.497838,127.146231
천하명당복권방,서울 송파구 백제고분로41길 7 1층,428 1060,2,271 317 379 393 515 660 929 929 929 1020,10,37.506782,127.10817
광림마트,서울 강남구 도곡로 213,490,1,345 390 703 786 812 974 986,7,37.493055,127.042071
달랑슈퍼,서울 강남구 삼성로82길 22,616,1,588 701 1004 1106,4,37.50528,127.059512
다온 편의점,서울 강북구 오현로 190 1층 103호,,0,840 870,2,37.628446,127.039362
보경식품,서울 강북구 도봉로 211,589 648 775,3,363 496 649 768 785 857 889 983 989 1009 1081 1142,12,37.627493,127.025382
동호슈퍼,서울 중구 동호로 163 동호빌딩1층,,0,452 540 552 552 552 552 595 653 736 742 745 777 833 1006 1022 1075,16,37.552932,127.01169
하임마트,서울 중구 퇴계로 439-4 1층,958 1105,2,297 381 470 503 835 971 978 997 997 997 997 997 1092 1104 1110,15,37.5659,127.020756
로또복권방,서울 중구 마른내로 21,709,1,306 661 864 883 976,5,37.564942,126.990248
남산골,서울 중구 퇴계로 222-1,,0,318 386 464 597 697 728 888 1028 1057,9,37.561578,126.996554
한밭식품,서울 중구 창경궁로 53-1,,0,416 825 928,3,37.567135,126.997833
승보슈퍼,서울 중구 마장로9길 49-19,544,1,266 437 830 976 1059 1104,6,37.570137,127.018402
자현당,서울 종로구 북촌로 10 1층,,0,381 381 443 763 879 1037,6,37.577818,126.985829
해피복권방,서울 종로구 자하문로 306,,0,430 547 579 619,4,37.59974,126.959054
비원복권,서울 종로구 돈화문로 66 비원슈퍼,,0,444 630 707 769 832,5,37.57442,126.991183
대박나라,서울 강남구 밤고개로 219 강남블루지움 105호,928,1,274 366 697 970,4,37.474786,127.107117
우리마트,서울 성북구 동소문로23길 20,,0,551 632 695 751 782 828 979 1020 1109,9,37.59433,127.01715
행복복권방,서울 양천구 신목로6길 41,,0,391 539 590 695,4,37.522194,126.875765
로또복권,서울 영등포구 영중로 22 120호&#40;영등포동3가&#41;,,0,,0,37.518344,126.90595
로또판매점,서울 영등포구 시흥대로 671 1층 8호&#40;대림동&#41;,,0,,0,37.491614,126.908174
대박로또,서울 영등포구 영등포로53길 17 1층 &#40;영등포동2가&#41;,,0,,0,37.519377,126.908691
꽃이활짝피는복권방,서울 영등포구 당산로 26 상가동 1호. 문래역 7번출구 옆,,0,341 571 604 765 853 856 998 1073,8,37.516869,126.894855
구두로또,서울 용산구 효창원로 112,,0,331 682 1023,3,37.538069,126.960845
일점오로또,서울 용산구 한강대로62길 16 가동 2호,,0,583 1074 1081,3,37.534204,126.97352
복권명당ㆍ토탈클린,서울 은평구 갈현로 304 1층,818,1,267 580 581 606 621 934 970 970 970 970 970,11,37.623954,126.917137
대박복권,서울 은평구 진흥로1길 27 1층,,0,727 831 868 1001,4,37.602874,126.918384
로또 장안점,서울 동대문구 한천로 196,,0,305 379 483,3,37.578088,127.068482
샛별로또,서울 동대문구 한천로 422 1층,,0,826,1,37.598127,127.067939
명당복권방,서울 동대문구 사가정로25길 17 1층 로또복권방,,0,341 483 523 607 655 1144,6,37.579609,127.070273
만물,서울 강남구 테헤란로37길 42,,0,379 661 685 786 1074,5,37.505049,127.03988
파랑새식품,서울 강남구 논현로151길 23 도산대로 앙드레김? 뒤편,,0,351 354 941,3,37.519796,127.026296
광림마트,서울 강남구 도산대로26길 8,,0,461 843 1147,3,37.518657,127.027437
진흥슈퍼,서울 강남구 논현로150길 31,611 767,2,412 544 624 723 725 772 955 972 1123,9,37.519833,127.030926
현대슈퍼,서울 강남구 개포로 508 107호 소망빌딩,459,1,579 579 784 784 790,5,37.489233,127.067956
형제식품,서울 강남구 학동로38길 11,,0,466 1013,2,37.514225,127.034529
경남마트,서울 구로구 고척로52길 21 경남상가201호,293,1,1064 1134 1142,3,37.504237,126.856683
천하명당,서울 구로구 오류로 60,,0,516 649 868 911 947 1072,6,37.489941,126.84033
과자종합상사,서울 구로구 경인로33길 82,1045,1,925,1,37.501505,126.850853
공단 복권방,서울 구로구 디지털로19길 12 1층&#40;가리봉동&#41;,,0,,0,37.480313,126.890067
현진식품,서울 구로구 중앙로 32,490 528 982,3,266 431 462 534 550 637 679 742 784 786 786 852 861 925 927 939 939 972 1081 1122,20,37.500774,126.863861
24시미니슈퍼,서울 구로구 도림로 94,,0,918,1,37.490661,126.893603
제일복권,서울 동대문구 회기로 194,526,1,736 898 1043,3,37.58983,127.057341
J수퍼,서울 동대문구 왕산로 211,,0,481 810 905 953 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057 1057,107,37.581043,127.046013
복권천국,서울 동대문구 전농로2나길 15 1층,,0,608 747 798 1116,4,37.568279,127.057275
한성식품,서울 중구 수표로 26,,0,359 502 906,3,37.563491,126.990386
무교식품,서울 중구 다동길 43 135호,,0,285 353 436 469 546 720,6,37.568206,126.981598
럭키복권방,서울 노원구 노원로 428 중앙하이츠상가제106호,,0,452 728 741,3,37.654953,127.068281
평강슈퍼,서울 노원구 노해로75길 14-2 중앙빌딩1층,553,1,281 758 831,3,37.654273,127.057602
굿데이,서울 노원구 화랑로 421,,0,313 898 951 1032,4,37.617521,127.074331
행당상회,서울 성동구 고산자로 290-3,,0,432 787 1075 1084,4,37.565658,127.036701
대일슈퍼,서울 성동구 고산자로 331 1층 7호&#40;마장동&#41;,,0,,0,37.56942,127.037151
영일식품,서울 영등포구 당산로32길 10,772 937,2,329 1122,2,37.526226,126.897795
신세계슈퍼,서울 영등포구 대림로 191,762,1,752 770 982,3,37.497769,126.898289
G마트,서울 영등포구 디지털로 387,401 478 651 1004 1021 1107 1133,7,278 631 643 671 831 892 897 908 956 961 1007 1021 1054 1061 1061 1068 1131 1138,18,37.491634,126.902113
우선식품,서울 영등포구 도신로 231-2,310,1,368 485 501 530 614 654 854 901 910 949 980 1015 1034 1049 1049 1083 1083 1088,18,37.512468,126.916657
행복,서울 서초구 강남대로30길 63,411,1,331 337 554,3,37.482762,127.040555
평화슈퍼,서울 은평구 연서로 198-1,529 974 1086,3,382 495 602 656 673 922 1139,7,37.616281,126.919015
갈현토큰,서울 은평구 통일로 905,455,1,507 712 823 1002 1002,5,37.623806,126.919564
수색마트 복권방,서울 은평구 수색로 256,,0,372 623 927 967 1011 1011 1149,7,37.582196,126.895948
월드24시,서울 은평구 통일로 855-15,313 416 539 555 561 722 752 881 1098,9,283 288 322 359 379 459 570 575 581 592 612 625 663 671 675 697 702 731 732 762 766 768 773 781 800 822 854 868 883 884 892 893 908 918 927 930 944 982 1024 1046 1055 1055 1069 1084 1085 1087 1088 1090 1092 1100 1107 1118 1129,53,37.61925,126.919788
영훈슈퍼마켓,서울 도봉구 덕릉로 222,274 399 449 598 811,5,275 357 373 399 416 505 575 601 655 758 821 874 889 901 956 957 962 964 1042 1044 1054 1080 1097,23,37.637809,127.037629
건강복권점,서울 송파구 오금로 306 1동1층105호,,0,333 726 896,3,37.502881,127.126122
나눔로또 석촌점,서울 송파구 백제고분로27길 34 1층,1016 1087,2,378 546 582 644 912 970,6,37.505988,127.093918
정평복권,서울 양천구 목동중앙본로7길 30 101호,516 590,2,403 728 860 921 968 1083,6,37.539675,126.866941
북앤파트너,서울 동대문구 한천로 84-1,,0,,0,37.568922,127.064035
데스콤㈜영등포영업소,서울 영등포구 영중로 48,350,1,265 318 334 340 361 408 496 496 525 527 534 550 632 743 748 765 776 833 850 888 911 936 961 978 999 1018 1050 1060 1076 1144 1144 1144 1144,33,37.520576,126.905139
굴러들어온 복권,서울 강남구 논현로72길 20 1층 102호,552,1,703 763 801 822 1082,5,37.495803,127.041161
행운의집,서울 강동구 구천면로 220,281 499 543,3,321 410 568 589 621 698 727 823 841 867 941,11,37.540465,127.129203
복권나라,서울 성동구 용답중앙15길 12-1 1층,304 667 752 949 1000,5,263 507 596 705 711 743 799 869 962 966 995 1000 1003 1019 1025 1046 1057 1063 1076 1077 1116,21,37.56443,127.053833
행운충전소,서울 중구 퇴계로 427,,0,462 561 694 847 889 900 1108 1116,8,37.565943,127.019154
복권전문점,서울 강북구 솔샘로64길 43,719 1112,2,405 706 893 1054 1061,5,37.615551,127.028657
대박.COM복권휴계실,서울 은평구 역말로 137-1,,0,504 689 1066,3,37.611466,126.922031
교통카드판매대,서울 송파구 송파대로28길 27 공영주차장앞가판,575 757 899 1030,4,755 760 832 846 868 948 969 974 976 1028 1055 1088 1103,13,37.495056,127.120412
대박복권마을,서울 영등포구 당산로 140,934,1,386 566 588 589 596 726 755 879 887 942,10,37.527055,126.89711
용꿈돼지꿈,서울 송파구 성내천로6길 3,1064,1,915 1016 1091 1131,4,37.503733,127.13587
바이복,서울 강남구 일원로5길 19,291 884 972,3,287 340 379 510 620 667 691 823 889 1006 1105,11,37.491381,127.082272
인생역전,서울 강동구 아리수로66길 29,,0,305 327 642 1075,4,37.561001,127.155129
NICE,서울 강동구 성내로6길 40 1층,1056,1,713 1039 1071,3,37.528204,127.121981
복권마을,서울 강동구 풍성로 173,726,1,412 458 908 968,4,37.530455,127.131244
행복공간,서울 강동구 풍성로 115,390 623 716,3,315 418 439 549 563 584 623 757 788 923 1048,11,37.532127,127.125105
행운복권방,서울 은평구 연서로21길 8,,0,612 881 1061 1074,4,37.614668,126.916812
갈현베르빌부동산공인중개사사무소,서울 은평구 연서로 149 동광갈현베르빌 1층 119호,,0,,0,37.612218,126.916782
오거리마트,서울 은평구 응암로14길 6,272 614,2,662 904 1093,3,37.590076,126.9179
5가로또레드탑,서울 종로구 종로 222,521 777,2,337 594 1000 1056,4,37.570748,127.002334
다산행운방,서울 중구 다산로36길 21,,0,274 604 661,3,37.562499,127.016491
복권방,서울 중구 중림로 37 1층 중간지점,,0,879 879 1013 1139,4,37.55794,126.967435
한아름유통,서울 도봉구 노해로41길 38-17,,0,841,1,37.650804,127.025472
국민슈퍼,서울 도봉구 도봉로 588,882,1,328 344 492 672 822 919 1009,7,37.657053,127.040105
돼지슈퍼,서울 도봉구 삼양로 628,,0,282 995,2,37.659068,127.014138
오성할인마트,서울 도봉구 도봉로 505,1028,1,338,1,37.65071,127.035586
럭키슈퍼,서울 용산구 후암로 52,316 360 459 776,4,443 452 497 498 498 526 578 586 618 643 647 685 799 819 866 923 931 962 975 1005 1090 1139,22,37.550596,126.977361
델타슈퍼,서울 용산구 한강대로38가길 11,,0,531 1077 1123,3,37.52963,126.969549
복권세상,서울 양천구 곰달래로5길 26,,0,415 500 795 809 939,5,37.531918,126.833679
복권판매소,서울 양천구 중앙로 251 101호,562,1,309 314 903,3,37.518669,126.853183
신정복권,서울 양천구 신목로 70-1 1층,323 475,2,420 499 585 842 863 911 977 1104,8,37.521121,126.873745
뉴신명,서울 양천구 목동중앙서로7가길 39 대로변 1층,,0,,0,37.533719,126.863884
호야식품,서울 양천구 중앙로 234,1061 1139,2,416 427 866 1030 1113,5,37.517449,126.854329
농심가슈퍼마트,서울 양천구 목동중앙본로 54 1층,474 597 1063,3,351 418 563 634 770 875 901 922 1107,9,37.540687,126.869025
삼육구마트,서울 양천구 목동중앙서로 15-1 1층,693,1,961,1,37.537381,126.86832
현대마트,서울 강서구 공항대로 649 103호,,0,300 441 490 679 846,5,37.547343,126.87704
길로또복권,서울 강서구 등촌로 215,1100 1125,2,503 553 720 773 970 1072 1072,7,37.548991,126.863253
복권마을&&#35;40;사당점&&#35;41;,서울 동작구 사당로 215 101호,1085,1,348 461 735 884 988 1011 1032 1041,8,37.484489,126.972044
천하명당복권방,서울 동작구 동작대로7길 11,640,1,299 333 487 547 682 696 743 839 842 959 1006 1008 1052,13,37.479813,126.980957
오성마트,서울 중랑구 용마산로116길 60,,0,1093,1,37.599579,127.103734
명당마트,서울 강서구 양천로 91,760 884 961 989,4,638 774 830 902 903 929 1068,7,37.573604,126.814046
로또복권대치점,서울 강남구 개포로 615 석탑프라자1층,1131,1,584 615 710 713 726 768 912 972 1031 1040 1055 1148,12,37.492685,127.075604
신성복권,서울 강남구 학동로 503,1086,1,309 595 606 657 663 931 938 941 1105 1126,10,37.519191,127.05076
금사랑,서울 양천구 월정로 38,892 1134,2,760 1143,2,37.523211,126.842582
CU 송파고분로점,서울 송파구 백제고분로46길 43,,0,661 697 876 1057,4,37.50684,127.115635
인앤아웃,서울 송파구 마천로41길 15 더페이스샵 뒤편,,0,1144 1144 1144,3,37.49731,127.149455
로또명당일등점,서울 관악구 미성3길 4,,0,724 1127,2,37.474149,126.916198
대박복권방,서울 강동구 양재대로134길 11 1층 4호,,0,861 1000 1046 1087 1096,5,37.547785,127.144396
행복로또방,서울 도봉구 도봉로 879,,0,772 1108,2,37.682949,127.045581
로또 光복권,서울 구로구 개봉로23가길 37,1024 1048,2,814 902 908 959 1009 1021 1079 1142,8,37.495298,126.858466
또또행복,서울 양천구 오목로 14 1층 2호,,0,804,1,37.521214,126.839296
행운로또복권판매점,서울 구로구 고척로 123-2,761 898,2,761 850 895 898 1034 1036,6,37.502303,126.847978
나눔로또수입과자,서울 성북구 삼선교로 87,833,1,962 993,2,37.589958,127.015004
복권,서울 중랑구 망우로30길 8 105호,683 901,2,592 661 994,3,37.592858,127.074271
코사마트,서울 구로구 공원로 35 새솔금호아파트상가1-25,,0,306 516 858 948 1089,5,37.500028,126.890368
산성슈퍼,서울 송파구 성내천로63길 6 102호,,0,452 898,2,37.490321,127.157224
히딩크복권방,서울 광진구 자양로13길 62,,0,878,1,37.533901,127.08116
대박복권방,서울 중구 퇴계로 398 1층3호,,0,392 428 445 655 674 706 958,7,37.565036,127.015765
미니상회,서울 동대문구 왕산로 171 가판,,0,653 932 932 1043 1076,5,37.579487,127.04206
가로판매점,서울 송파구 올림픽로 132 새마을시장신천역3번출구앞가판,903,1,460 586 684 699 918 996 1000 1058 1105 1116 1135 1143,12,37.511225,127.085346
금금산&&#35;40;金金産&&#35;41;복방,서울 강북구 한천로123길 51,,0,555 867 870 1006,4,37.635846,127.029164
행운로또방,서울 도봉구 우이천로20길 37,,0,519 538 803 817,4,37.642005,127.034947
로또지물포,서울 마포구 방울내로 78,464 939,2,495 753 775 1006 1070,5,37.560431,126.904082
천하명당로또복권,서울 서대문구 세무서길 12,1024 1049,2,291 980 983 1065 1095 1095 1125,7,37.588523,126.945642
복권마을,서울 광진구 뚝섬로 493,,0,406 540 898,3,37.536287,127.065214
미나식품&&#35;40;로또판매점&&#35;41;,서울 강서구 금낭화로 91-12,605 821 844 850 864 1019,6,270 272 312 321 334 380 418 421 467 475 477 536 547 604 618 622 635 651 682 684 695 731 746 773 789 794 799 808 907 911 951 953 956 979 989 995 996 1023 1023 1061 1096 1105 1121 1133,44,37.573502,126.810665
노다지복권방,서울 강동구 천호대로170길 47 1층,327 679,2,269 474 487 817,4,37.533261,127.132616
유성포장,서울 구로구 도림로 85 1층코너,,0,291 632 1025 1099,4,37.490438,126.892587
신흥2020,서울 도봉구 도봉로 733,420,1,837 959 1003 1097,4,37.669926,127.043232
현대복권방,서울 동대문구 답십리로 9 1층,,0,318 380 505 520 633 769 912 934 952 1013,10,37.578469,127.043528
대박나라,서울 마포구 망원로 86,829,1,263 375 640 690 737 889 946 979 984 984,10,37.557459,126.906244
다모아복권,서울 영등포구 신풍로 92 103호,,0,283 354 376 595 599 709 788 1008 1024,9,37.499815,126.916329
왕대박복권방,서울 은평구 갈현로 7,,0,311 367 731,3,37.598673,126.910022
노다지복권방,서울 중구 다산로44길 15,914,1,332 379 466 536 548 822 860 943 1041 1090 1096,11,37.565046,127.017759
하나복권&&#35;40;가로판매점&&#35;41;,서울 영등포구 여의나루로 42 가로판매점&#40;여의도동&#41;,,0,,0,37.52147,126.924971
씨스페이스 강동현대점,서울 강동구 풍성로54길 55,,0,622 699 877 902 992 1023,6,37.527053,127.133189
GS25&&#35;40;동묘역점&&#35;41;,서울 종로구 종로 344,763,1,786 861 935 994 1051,5,37.572797,127.016049
노다지복권방,서울 양천구 월정로 137,591 868,2,328 590 647 730 787 790 907 930 972 975 1030 1060 1134,13,37.531162,126.837427
복권마을,서울 강서구 화곡로 321 101호,1104,1,352 553 715 754 765 963 1000 1000 1008 1064 1111 1112,12,37.552771,126.850188
복권나라,서울 중랑구 봉화산로 30,903 1128,2,488 490 511 560 827,5,37.601409,127.077523
행운복권방,서울 서대문구 신촌로 235-1,1091,1,869 881 969,3,37.557385,126.952268
복권명당,서울 강동구 구천면로 214,,0,324 475 624 788 1013,5,37.540379,127.128408
럭키복권샵,서울 송파구 성내천로 218,,0,271 581 840 892 968,5,37.499633,127.151683
강남상회,서울 강남구 봉은사로 179 지층 1호 CU 편의점,,0,450 1112,2,37.507473,127.033401
하나더마트,서울 중구 퇴계로90길 22,,0,486 856,2,37.564368,127.021885
emart24 포이사거리점,서울 강남구 개포로 202 1층 이마트 24,272,1,361 451 591 598 623 802 859,7,37.478157,127.044967
우리슈퍼,서울 성동구 행당로17길 9 1층 우리슈퍼,,0,1083,1,37.559303,127.033395
대창청과슈퍼,서울 영등포구 신길로 203,,0,308 650 912,3,37.510216,126.910301
또와식품,서울 강서구 양천로 694,437 445 566 1096,4,313 402 657 692 755 804 823 902 944 1002 1029 1059 1075 1076 1129 1137,16,37.550079,126.872827
강서스포츠,서울 강서구 곰달래로 156-1,1081,1,365 576 783 938 1132,5,37.550502,126.848167
서울복권방,서울 중랑구 동일로 809-1,269,1,281 424 673 756 864 897 926 985 1082,9,37.602691,127.078947
정원쇼핑,서울 서대문구 홍은중앙로 99,,0,,0,37.599556,126.948386
강원슈퍼,서울 서대문구 모래내로 355,1087 1124,2,642 719 1015 1038,4,37.581635,126.935536
복권파티,서울 송파구 오금로 516,603 720,2,291 439 546 572 590 664 668 726 808 831 840 867 940,13,37.492776,127.146129
가로판매점,서울 중구 서소문로 109,359 575 748,3,434 520 530 602 846 1066,6,37.563055,126.973257
하나은행별관앞가판43호,서울 중구 을지로 55 하나은행별관앞가판,,0,268 694 697 874 1011 1069,6,37.566405,126.984007
승지GALLANT,"서울 서초구 신반포로 194 경부고속터미널제2매표소앞 쇼케이스16, 코너3",626,1,339 639 805 868 927 1046 1086,7,37.505509,127.007038
